IO NO ,UNIT ,STYLE PIC,STYLE ,STYLE DESC,FABRIC ,SHIPMENT DATE,PO NO,COUNTRY,Combo,*0/3,*3/6,*6/9,*12,*24,*2,*3,*4,*5,*18,*6,*6X/7,*6X/7.1,Total,GRANT TOTAL,REMARKS
174,,,K6RI18KB020,RIB SS T-SHIRT,Y/D DURBY RIB/100% COTTON/265 GSM,2025-08-25 00:00:00,MA01-2025-02031,NETHERLANDS (CLL),STRIPE WHITE NAVY SI-SWNS,,20,25,31,24,93,113,121,113,35,115,85,,775,1427,
174,,,K6RI18KB020,RIB SS T-SHIRT,Y/D DURBY RIB/100% COTTON/265 GSM,2025-08-25 00:00:00,IT-50350,CANADA (WLS),STRIPE WHITE NAVY SI-SWNS,,,,,,4,8,8,10,,10,8,,48,,
174,,,K6RI18KB020,RIB SS T-SHIRT,Y/D DURBY RIB/100% COTTON/265 GSM,2025-08-25 00:00:00,SP01-2025-00724,SINGAPORE,STRIPE WHITE NAVY SI-SWNS,,,,,,11,18,32,28,,20,16,,125,,
174,,,K6RI18KB020,RIB SS T-SHIRT,Y/D DURBY RIB/100% COTTON/265 GSM,2025-08-25 00:00:00,US01-2025-00735(IK-96743),UNITED STATES (WLS),STRIPE WHITE NAVY SI-SWNS,,,,,,10,10,10,11,,11,10,,62,,
277,,,K6RI18KB020,RIB SS T-SHIRT,Y/D DURBY RIB/100% COTTON/265 GSM,2025-09-08 00:00:00,MA01-2025-02747,A,STRIPE WHITE NAVY SI-SWNS,,7,10,9,10,12,23,22,23,8,23,20,,167,,
,,,,,,,,SUB TOTAL,,,27,35,40,34,130,172,193,185,43,179,139,,1177,,
174,,,K6RI18KB020,RIB SS T-SHIRT,Y/D DURBY RIB/100% COTTON/265 GSM,2025-08-25 00:00:00,AU01-2025-00760,AUSTRALIA (DIR),RED SECRET PINK ST-ST56,,,,,,7,9,9,9,,9,7,,50,,
174,,,K6RI18KB020,RIB SS T-SHIRT,Y/D DURBY RIB/100% COTTON/265 GSM,2025-08-25 00:00:00,MA01-2025-02031,NETHERLANDS (CLL),RED SECRET PINK ST-ST56,,3,4,4,2,30,30,34,32,4,34,23,,200,,
,,,,,,,,SUB TOTAL,,,3,4,4,2,37,39,43,41,4,43,30,,250,,
IO NO ,UNIT ,STYLE PIC,STYLE ,STYLE DESC,FABRIC ,SHIPMENT DATE,PO NO,COUNTRY,Combo,*0/3,*3/6,*6/9,*12,*24,*2,*3,*4,*5,*18,*6,*6X/7,*6X/7,Total,GRANT TOTAL,REMARKS
187,,,N6RI02K8HM4,SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,2025-08-25 00:00:00,MA01-2025-02031,NETHERLANDS (CLL),JET BLACK A996-JBLK,,20,20,25,23,109,133,140,142,27,139,122,,900,,
290,,,N6RI02K8HM4,SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,2025-09-08 00:00:00,MA01-2025-02747,NETHERLANDS (CLL),JET BLACK A996-JBLK,,5,6,3,3,27,33,33,32,4,31,25,,202,,
,,,,,,,,SUB TOTAL,,,25,26,28,26,136,166,173,174,31,170,147,,1102,,
187,,,N6RI02K8HM4,SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,2025-08-25 00:00:00,MA01-2025-02031,NETHERLANDS (CLL),PURE WHITE-G011/11-4001 TCX,,35,35,46,28,134,201,225,207,50,170,121,,1252,4164,
187,,,N6RI02K8HM4,SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,2025-08-25 00:00:00,SP01-2025-00724,SINGAPORE,PURE WHITE-G011/11-4001 TCX,,,,,,,,16,14,,10,8,,48,,
290,,,N6RI02K8HM4,SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,2025-09-08 00:00:00,MA01-2025-02747,NETHERLANDS (CLL),PURE WHITE-G011/11-4001 TCX,,28,31,28,33,12,33,31,32,28,43,47,,346,,
,,,,,,,,SUB TOTAL,,,63,66,74,61,146,234,272,253,78,223,176,,1646,,
187,,,N6RI02K8HM4,SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,2025-08-25 00:00:00,MA01-2025-02031,NETHERLANDS (CLL),SPICY RED-G5D7/18-1657 TCX,,25,25,25,20,75,100,105,105,28,104,92,,704,,
187,,,N6RI02K8HM4,SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,2025-08-25 00:00:00,SP01-2025-00724,SINGAPORE,SPICY RED-G5D7/18-1657 TCX,,,,,,14,21,20,17,,14,10,,96,,
290,,,N6RI02K8HM4,SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,2025-09-08 00:00:00,MA01-2025-02747,NETHERLANDS (CLL),SPICY RED-G5D7/18-1657 TCX,,40,42,45,47,33,73,73,78,45,75,65,,616,,
,,,,,,,,SUB TOTAL,,,65,67,70,67,122,194,198,200,73,193,167,,1416,,
IO NO ,UNIT ,STYLE PIC,STYLE ,STYLE DESC,FABRIC ,SHIPMENT DATE,PO NO,COUNTRY,Combo,*0/3,*3/6,*6/9,*12,*24,*2,*3,*4,*5,*18,*6,*6X/7,*6X/7,Total,GRANT TOTAL,REMARKS
185,,,N6RI03K8HM4,SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,2025-08-25 00:00:00,MA01-2025-02031,NETHERLANDS (CLL),PURE WHITE-G011/11-4001 TCX,,20,29,39,37,68,98,113,104,44,102,76,,730,2123,
185,,,N6RI03K8HM4,SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,2025-08-25 00:00:00,SP01-2025-00724,SINGAPORE,PURE WHITE-G011/11-4001 TCX,,,,,,10,14,14,11,,11,10,,70,,
291,,,N6RI03K8HM4,SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,2025-09-08 00:00:00,MA01-2025-02747,NETHERLANDS (CLL),PURE WHITE-G011/11-4001 TCX,,26,23,30,27,20,29,31,26,31,29,23,,295,,
,,,,,,,,SUB TOTAL,,,46,52,69,64,98,141,158,141,75,142,109,,1095,,
185,,,N6RI03K8HM4,SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,2025-08-25 00:00:00,MA01-2025-02031,NETHERLANDS (CLL),SPICY RED-G5D7/18-1657 TCX,,30,30,45,38,59,95,100,100,50,100,83,,730,,
185,,,N6RI03K8HM4,SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,2025-08-25 00:00:00,SP01-2025-00724,SINGAPORE,SPICY RED-G5D7/18-1657 TCX,,,,,,10,14,14,11,,11,10,,70,,
291,,,N6RI03K8HM4,SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,2025-09-08 00:00:00,MA01-2025-02747,NETHERLANDS (CLL),SPICY RED-G5D7/18-1657 TCX,,17,23,23,22,17,23,22,20,26,22,13,,228,,
,,,,,,,,SUB TOTAL,,,47,53,68,60,86,132,136,131,76,133,106,,1028,,
IO NO ,UNIT ,STYLE PIC,STYLE ,STYLE DESC,FABRIC ,SHIPMENT DATE,PO NO,COUNTRY,Combo,*0/3,*3/6,*6/9,*12,*24,*2,*3,*4,*5,*18,*6,*6X/7,*6X/7,Total,GRANT TOTAL,REMARKS
183,,,N6RI06K8HM4,SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,2025-08-25 00:00:00,MA01-2025-02031,NETHERLANDS (CLL),PURE WHITE-G011/11-4001 TCX,,4,7,10,6,65,94,99,92,15,91,61,,544,600,
183,,,N6RI06K8HM4,SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,2025-08-25 00:00:00,SP01-2025-00724,SINGAPORE,PURE WHITE-G011/11-4001 TCX,,,,,,2,3,19,16,,11,5,,56,,
,,,,,,,,SUB TOTAL,,,4,7,10,6,67,97,118,108,15,102,66,,600,,
