DocDate,PODate,ExCountry,CustomerName,BuyerDivision,MerchandiserName,StyleNo,StyleDesc,BaseFabricQuality,Season,ShipmentDate,DocNo,Images,PONo,Country,Combo,Column_Id,SizeGroupCode,Size,OrderQty
6/6/2025,6/6/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI10K6YW4,SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,8/9/2025,ESS-APP-SO-2526-248,,MA01-2025-02760,NETHERLANDS (CLL),LIGHT BLUE SKY-A732/15-4031 TCX,2.0,*7-16,*8,59
6/6/2025,6/6/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI10K6YW4,SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,8/9/2025,ESS-APP-SO-2526-248,,MA01-2025-02760,NETHERLANDS (CLL),PURE WHITE-G011/11-4001 TCX,2.0,*7-16,*8,69
6/6/2025,6/6/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,L6RI02K8HM4,SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,PRESPRING-2026,8/9/2025,ESS-APP-SO-2526-283,,MA01-2025-02760,NETHERLANDS (CLL),SPICY RED-G5D7/18-1657 TCX,2.0,*7-16,*8,38
6/6/2025,6/6/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI30KCNQ4,BATWING SS T-SHIRT,HEAVY JERSEY/50% ORGANIC COTTON 50% COTTON/210 GSM,PRESPRING-2026,7/9/2025,ESS-APP-SO-2526-261,,MA01-2025-03111,NETHERLANDS (CLL),SECRET BLUE-G7HR/19-4111 TCX,2.0,*7-16,*8,35
6/6/2025,6/6/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,N6RI02K8HM4,SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,PRESPRING-2026,8/9/2025,ESS-APP-SO-2526-290,,MA01-2025-02747,NETHERLANDS (CLL),SPICY RED-G5D7/18-1657 TCX,7.0,*3-6-6X7,*2,33
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,L6RI07K8HM4,OVERSIZE GMT DYE SS T-SHIRT,SINGLE JERSEY/50% ORGANIC COTTON 50% COTTON/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-179,,MA02-2025-01325,NETHERLANDS(RTL),JET BLACK A996-JBLK,2.0,*7-16,*8,11
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI10K6YW4,SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-163,,MA02-2025-01332,NETHERLANDS(RTL),BLUSHED BRIDE-G62O/12-1310 TCX,2.0,*7-16,*8,13
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI10K6YW4,SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-163,,MA02-2025-01332,NETHERLANDS(RTL),JET BLACK A996-JBLK,2.0,*7-16,*8,36
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI10K6YW4,SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-163,,MA02-2025-01332,NETHERLANDS(RTL),LIGHT BLUE SKY-A732/15-4031 TCX,2.0,*7-16,*8,13
24/5/2025,24/5/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI10K6YW4,SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,25/8/2025,ESS-APP-SO-2526-163,,MA02-2025-01332,NETHERLANDS(RTL),PURE WHITE-G011/11-4001 TCX,2.0,*7-16,*8,50
6/6/2025,6/6/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J5RI46J1314,SS T-SHIRT_MINIME,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/180 GSM,PRESPRING-2026,7/9/2025,ESS-APP-SO-2526-235,,MA02-2025-01768,NETHERLANDS(RTL),BLUSHED BRIDE-G62O/12-1310 TCX,2.0,*4-14,*6,6
6/6/2025,6/6/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J5RI46J1314,SS T-SHIRT_MINIME,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/180 GSM,PRESPRING-2026,7/9/2025,ESS-APP-SO-2526-235,,MA02-2025-01768,NETHERLANDS(RTL),OCEAN SALT-G6K5/11-1302 TCX,2.0,*4-14,*6,6
6/6/2025,6/6/2025,,GUESS EUROPE KIDS,KIDS,SURESH R,J6RI28K6YW4,MIDI SS T-SHIRT,LYCRA JERSEY/50% ORGANIC COTTON 45% COTTON 5% ELASTANE/160 GSM,PRESPRING-2026,7/9/2025,ESS-APP-SO-2526-255,,MA02-2025-01768,NETHERLANDS(RTL),SECRET BLUE-G7HR/19-4111 TCX,2.0,*7-16,*8,69
